Date,State,Station,Station No.,Min Temp(°C),Max Temp(°C),Rain(mm),Max Wind Dir,Max Wind Spd(km/h)
23/7/19,ACT,Canberra Airport ,70351,-2.4,16,0,WNW,59
24/7/19,ACT,Canberra Airport ,70351,7.8,13.5,0,WNW,57
25/7/19,ACT,Canberra Airport ,70351,-5.1,15.7,0,NW,24
26/7/19,ACT,Canberra Airport ,70351,-1.8,11.1,0,NW,19
27/7/19,ACT,Canberra Airport ,70351,0.2,16.2,0.2,WNW,28
28/7/19,ACT,Canberra Airport ,70351,-3.3,14.3,0,NNW,31
29/7/19,ACT,Canberra Airport ,70351,-2.4,14.2,0,NW,37
30/7/19,ACT,Canberra Airport ,70351,-1.4,13.6,0.2,SSE,31
31/7/19,ACT,Canberra Airport ,70351,-2.8,13.7,0.2,WNW,19
1/8/19,ACT,Canberra Airport ,70351,-3.8,14.6,0,NW,28
2/8/19,ACT,Canberra Airport ,70351,0,15.2,0,NNW,30
3/8/19,ACT,Canberra Airport ,70351,-0.9,13.3,0,N,33
4/8/19,ACT,Canberra Airport ,70351,0.4,13.6,0,NW,24
5/8/19,ACT,Canberra Airport ,70351,0.9,11.9,0,N,33
6/8/19,ACT,Canberra Airport ,70351,-2.5,12.9,0,N,35
7/8/19,ACT,Canberra Airport ,70351,-5,16,0,NW,43
8/8/19,ACT,Canberra Airport ,70351,-3.5,12.6,3.2,WNW,63
9/8/19,ACT,Canberra Airport ,70351,4.1,8.7,6.6,NNW,72
10/8/19,ACT,Canberra Airport ,70351,0.8,8.8,3,W,52
11/8/19,ACT,Canberra Airport ,70351,2,10.7,1.6,NNW,46
12/8/19,ACT,Canberra Airport ,70351,-1.6,13,0,NW,35
13/8/19,ACT,Canberra Airport ,70351,-1.7,12.7,0,N,31
14/8/19,ACT,Canberra Airport ,70351,-4.1,10.2,0,N,24
15/8/19,ACT,Canberra Airport ,70351,-3.2,15.3,0.2,NNW,46
16/8/19,ACT,Canberra Airport ,70351,-2.8,18.3,0,NW,52
17/8/19,ACT,Canberra Airport ,70351,0.3,17.8,0,E,37
18/8/19,ACT,Canberra Airport ,70351,-1.1,18.9,0,NW,70
19/8/19,ACT,Canberra Airport ,70351,2.6,9.4,2.4,WNW,56
20/8/19,ACT,Canberra Airport ,70351,2.7,13.2,0,WNW,61
21/8/19,ACT,Canberra Airport ,70351,6.8,16.6,0,W,52
22/8/19,ACT,Canberra Airport ,70351,9,16.1,0,W,54
23/8/19,ACT,Canberra Airport ,70351,-5.2,14.7,0,NNW,31
24/8/19,ACT,Canberra Airport ,70351,-5.2,17.4,0,NW,56
25/8/19,ACT,Canberra Airport ,70351,0.1,18.3,0,N,46
26/8/19,ACT,Canberra Airport ,70351,5.1,13.7,0,NE,26
27/8/19,ACT,Canberra Airport ,70351,5,13.2,0.8,NE,20
28/8/19,ACT,Canberra Airport ,70351,1.6,17,0,WNW,44
29/8/19,ACT,Canberra Airport ,70351,0.7,13.8,0,SSE,41
30/8/19,ACT,Canberra Airport ,70351,1.3,14.5,0,SE,39
31/8/19,ACT,Canberra Airport ,70351,0.6,17.2,0,NNE,26
1/9/19,ACT,Canberra Airport ,70351,-2.3,19.8,0,NW,39
2/9/19,ACT,Canberra Airport ,70351,0.5,19,0.2,NW,28
3/9/19,ACT,Canberra Airport ,70351,2.9,21.7,0,NW,41
4/9/19,ACT,Canberra Airport ,70351,-0.3,22.2,0,NW,48
5/9/19,ACT,Canberra Airport ,70351,1.5,21.2,0,SW,31
6/9/19,ACT,Canberra Airport ,70351,5.7,20.1,0,W,69
7/9/19,ACT,Canberra Airport ,70351,5,11.8,3.8,WNW,69
8/9/19,ACT,Canberra Airport ,70351,4,13.4,0,WNW,57
9/9/19,ACT,Canberra Airport ,70351,3.7,14.1,0,SSW,69
10/9/19,ACT,Canberra Airport ,70351,-0.5,16.3,0,SSW,35
11/9/19,ACT,Canberra Airport ,70351,-3.1,19.4,0,NNW,30
12/9/19,ACT,Canberra Airport ,70351,-0.9,19.2,0,NW,50
13/9/19,ACT,Canberra Airport ,70351,-2.8,22.3,0,N,50
14/9/19,ACT,Canberra Airport ,70351,-0.5,21.8,0,NNW,35
15/9/19,ACT,Canberra Airport ,70351,-0.4,24,0,NW,43
16/9/19,ACT,Canberra Airport ,70351,5.4,24.7,0,NNW,46
17/9/19,ACT,Canberra Airport ,70351,0.8,11.3,32,SE,50
18/9/19,ACT,Canberra Airport ,70351,1.5,15.9,0,SE,35
19/9/19,ACT,Canberra Airport ,70351,10,20.1,0,ENE,31
20/9/19,ACT,Canberra Airport ,70351,5.6,23.3,0,NE,43
21/9/19,ACT,Canberra Airport ,70351,10.1,18.7,0,NW,52
22/9/19,ACT,Canberra Airport ,70351,6.9,17.2,3.8,NNW,50
23/9/19,ACT,Canberra Airport ,70351,0.1,13.6,0,WNW,50
24/9/19,ACT,Canberra Airport ,70351,-2.9,16.9,0.2,N,44
25/9/19,ACT,Canberra Airport ,70351,-0.9,17.9,0,ENE,30
26/9/19,ACT,Canberra Airport ,70351,4.4,18.2,0,NNW,35
27/9/19,ACT,Canberra Airport ,70351,0.7,20.8,0,WNW,54
28/9/19,ACT,Canberra Airport ,70351,3.7,18.1,0,NNW,31
