Date,State,Station,Station No.,latitude,longitude,Min Temp(°C),Max Temp(°C),Rain(mm),Max Wind Dir,Max Wind Spd(km/h)
1/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.5,20.8,0,NNW,33
2/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.8,23.8,0,NNW,26
3/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.2,20.4,20.8,NNW,43
4/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5,19,0.6,SSE,41
5/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.9,17.4,0,S,48
6/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.2,16.6,0,N,30
7/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0,15.5,0,NNW,48
8/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.4,13.1,1.8,WNW,54
9/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.8,14.4,0,N,39
10/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.4,11,0,NW,46
11/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.4,16.2,10.4,NNW,31
12/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.2,12,0.2,NNE,15
13/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.7,17.3,0.2,NNW,30
14/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.3,18.1,0,NW,19
15/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.6,17.5,0,NNW,19
16/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2,19,0,W,19
17/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.3,19.1,0,NW,33
18/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.1,19.2,0,SE,19
19/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.6,18.9,0,NNW,17
20/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.6,19.4,0,NNW,35
21/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.7,21.3,0,NW,37
22/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.4,20.7,0,N,20
23/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.8,19.4,0,NW,28
24/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.3,17.4,0,NNW,26
25/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.8,20,0,NW,44
26/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.6,14.4,8,WNW,46
27/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.8,9.1,0.4,NNW,63
28/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.2,10.4,0.4,NW,61
29/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.5,9.8,1.2,NW,69
30/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.1,11,2.2,WSW,37
31/5/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.7,12,0,N,31
1/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.7,15.2,0.2,S,30
2/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.6,15.7,0,NNW,30
3/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.9,11.4,0.4,S,57
4/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.4,11.4,3.6,S,69
5/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.3,12.3,0,S,46
6/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-3.9,14.6,0,W,19
7/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.3,17,0.2,SE,17
8/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.1,11.2,0,NNW,20
9/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.6,16,0,NW,28
10/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.5,14.5,0.4,NNW,54
11/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.8,16.3,2.8,NW,26
12/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.6,17.4,0,NNW,50
13/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.8,16.5,1.8,NW,39
14/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.2,14.5,0,WNW,30
15/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.4,13.7,0,NW,19
16/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.8,13.2,0.2,NNW,17
17/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.1,15.6,0,SE,26
18/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.5,13.7,0,NW,37
19/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.7,11.9,0.4,WNW,26
20/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-4.4,11,0,N,31
21/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-4.9,11.4,0,S,37
22/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.5,11.5,0,S,35
23/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-3.8,10.8,0.2,SSW,39
24/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.8,13.6,0,ESE,33
25/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.2,15.9,0,SSE,19
26/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.4,15,0,E,22
27/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.4,15.9,0,SE,17
28/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.1,16.7,0.4,NNW,30
29/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.7,16.6,0,N,54
30/6/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.3,11.3,7.4,NNW,46
1/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-4.7,12.5,0.2,N,31
2/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-3.6,15,0,NW,37
3/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-3.1,15.6,0,E,30
4/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.5,13.3,0,E,35
5/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0,15.8,0,E,33
6/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.6,15.6,0.2,NE,26
7/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.2,15.3,0.2,NNW,17
8/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,7.3,15.9,0,NW,35
9/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.2,13.4,0,WNW,39
10/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.9,10.8,0,NNW,57
11/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6,10.6,0.8,NW,61
12/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,7.7,13.1,0,NW,69
13/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.2,8.7,2.8,NNW,65
14/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1,8.6,0,NW,63
15/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.6,12.8,0.2,WNW,54
16/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.1,14,0,NW,46
17/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.4,12.5,0,WNW,54
18/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.9,13,0,NW,46
19/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.3,13.3,0,N,37
20/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.7,12.7,0,NNW,28
21/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-4.7,15.8,0,NW,44
22/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.6,17.3,0,N,31
23/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.4,16,0,WNW,59
24/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,7.8,13.5,0,WNW,57
25/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-5.1,15.7,0,NW,24
26/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.8,11.1,0,NW,19
27/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.2,16.2,0.2,WNW,28
28/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-3.3,14.3,0,NNW,31
29/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.4,14.2,0,NW,37
30/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.4,13.6,0.2,SSE,31
31/7/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.8,13.7,0.2,WNW,19
1/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-3.8,14.6,0,NW,28
2/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0,15.2,0,NNW,30
3/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.9,13.3,0,N,33
4/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.4,13.6,0,NW,24
5/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.9,11.9,0,N,33
6/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.5,12.9,0,N,35
7/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-5,16,0,NW,43
8/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-3.5,12.6,3.2,WNW,63
9/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.1,8.7,6.6,NNW,72
10/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.8,8.8,3,W,52
11/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2,10.7,1.6,NNW,46
12/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.6,13,0,NW,35
13/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.7,12.7,0,N,31
14/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-4.1,10.2,0,N,24
15/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-3.2,15.3,0.2,NNW,46
16/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.8,18.3,0,NW,52
17/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.3,17.8,0,E,37
18/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.1,18.9,0,NW,70
19/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.6,9.4,2.4,WNW,56
20/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.7,13.2,0,WNW,61
21/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.8,16.6,0,W,52
22/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,9,16.1,0,W,54
23/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-5.2,14.7,0,NNW,31
24/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-5.2,17.4,0,NW,56
25/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.1,18.3,0,N,46
26/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.1,13.7,0,NE,26
27/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5,13.2,0.8,NE,20
28/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.6,17,0,WNW,44
29/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.7,13.8,0,SSE,41
30/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.3,14.5,0,SE,39
31/8/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.6,17.2,0,NNE,26
1/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.3,19.8,0,NW,39
2/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.5,19,0.2,NW,28
3/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.9,21.7,0,NW,41
4/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.3,22.2,0,NW,48
5/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.5,21.2,0,SW,31
6/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.7,20.1,0,W,69
7/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5,11.8,3.8,WNW,69
8/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4,13.4,0,WNW,57
9/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.7,14.1,0,SSW,69
10/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.5,16.3,0,SSW,35
11/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-3.1,19.4,0,NNW,30
12/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.9,19.2,0,NW,50
13/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.8,22.3,0,N,50
14/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.5,21.8,0,NNW,35
15/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.4,24,0,NW,43
16/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.4,24.7,0,NNW,46
17/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.8,11.3,32,SE,50
18/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.5,15.9,0,SE,35
19/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,10,20.1,0,ENE,31
20/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.6,23.3,0,NE,43
21/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,10.1,18.7,0,NW,52
22/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.9,17.2,3.8,NNW,50
23/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.1,13.6,0,WNW,50
24/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-2.9,16.9,0.2,N,44
25/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.9,17.9,0,ENE,30
26/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.4,18.2,0,NNW,35
27/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.7,20.8,0,WNW,54
28/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.7,18.1,0,NNW,31
29/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.2,20.2,0,N,48
30/9/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.6,19.7,0,E,43
1/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.6,21.1,0,NNW,31
2/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.8,24.7,0,NNW,43
3/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.2,28,0,NNW,39
4/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.7,28.1,0,WNW,44
5/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.1,19.2,4,ENE,33
6/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.4,30.4,0,N,61
7/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.6,23.7,0,NW,54
8/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.4,18.7,0,W,54
9/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.7,16.3,11.2,S,39
10/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1,19.2,0,E,43
11/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.5,17.1,0,ESE,41
12/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.6,15.9,0,ESE,30
13/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.8,19.8,0,N,28
14/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.3,22.7,0,SSW,33
15/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.6,28,0,NW,56
16/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,7.8,24.8,0,NNW,67
17/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,9.5,16.1,4.8,WNW,69
18/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.8,21,0,NNW,52
19/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.8,19.2,0,NW,78
20/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.2,20.9,0,N,30
21/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.1,26.7,0,ENE,33
22/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.8,28.5,0,E,41
23/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.8,29.2,0,SW,80
24/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.8,31.2,0,W,39
25/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,9.1,31.1,0,NNW,91
26/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.3,18.2,7.6,NW,78
27/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.6,20.5,0,NNW,43
28/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.7,22.9,0,W,39
29/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.6,27.4,0,NNW,50
30/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.8,29.3,0,W,28
31/10/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,7,31.7,0,NE,41
1/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,10.4,32.5,0,NNW,39
2/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,13.9,31.3,0,N,63
3/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.8,25.8,0,NNW,57
4/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.5,22.6,12.4,WNW,56
5/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.6,19,0.2,S,35
6/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,7.2,23.7,0,NW,70
7/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.3,19.4,0,WNW,70
8/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.7,18.8,0,NW,72
9/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.6,16.7,0,WNW,56
10/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.4,20.4,0,NNW,54
11/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.7,26.4,0,NW,50
12/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.8,26.6,0,NW,67
13/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.7,20.8,0,WNW,50
14/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,7.1,24.7,0,NW,52
15/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.8,25.7,0,NW,61
16/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.4,25.7,0,NW,50
17/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,9.6,25.1,0,E,52
18/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.8,27,0,NNW,59
19/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.4,32.5,0,WNW,57
20/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.4,31.4,0,ENE,33
21/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,10.9,39,0,NNW,54
22/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,16.9,34.9,0,NW,52
23/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.9,33.1,0,NNW,54
24/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.1,28.6,0,NNE,39
25/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,10.7,31.5,0,NW,52
26/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.4,27.3,0,NW,89
27/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.6,27.1,0,NW,43
28/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.6,30.3,0,N,46
29/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.6,33.1,0,N,65
30/11/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.8,23.8,0,NW,69
1/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.6,21.5,0,NW,63
2/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,7.4,15.1,0.6,WNW,57
3/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.5,20.8,0.6,W,61
4/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.6,24.1,0,WNW,57
5/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.2,28.2,0,WNW,63
6/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.7,28,0,WNW,50
7/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.1,29.7,0,WSW,52
8/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.1,29.9,0,ENE,43
9/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,14.9,34.9,0,NW,46
10/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.2,38.1,0,NW,59
11/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.3,32.7,0,NNW,44
12/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.8,30.5,0,ENE,57
13/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.8,27.8,0,E,48
14/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,9.2,29.6,0,W,48
15/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.9,29,0,W,54
16/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,10.6,32,0,E,48
17/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.1,32.5,0,E,48
18/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.2,36.8,0,NW,43
19/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.8,39.3,0,E,54
20/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.8,39,0,N,39
21/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,14.7,41.1,0,WNW,46
22/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.5,24.9,0,ENE,43
23/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.6,32.4,0,NE,31
24/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.3,28.8,0,NE,44
25/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.1,32.2,0,ENE,43
26/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.6,35,0,E,44
27/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.3,36.8,0,E,43
28/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,17.1,37.7,0,NW,52
29/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,19.6,36.1,0,WNW,33
30/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,17.6,39.8,0,NW,56
31/12/19,ACT,Canberra Airport ,70351,-35.3088,149.2003,19.8,38,0,NW,74
1/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,13.5,33.2,0.2,NW,37
2/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,10.7,33.2,0,E,41
3/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.6,37.8,0,NW,56
4/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,18.5,44,0,NNW,67
5/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,17.3,21.7,0,ESE,46
6/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,14.3,21.5,0,E,33
7/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15,35,0.4,NW,46
8/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,16.3,34.9,0,NNW,52
9/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.7,26.1,0,ESE,43
10/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,17.8,39.4,0,NW,48
11/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.5,28.3,0.2,SW,61
12/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,14.4,22.1,0,E,41
13/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,9.7,26.9,0,ENE,39
14/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,12.7,32.1,0,E,48
15/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.3,33.2,0,NW,50
16/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.9,29.3,1,ESE,48
17/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,16.5,24.8,4,ESE,43
18/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,17.1,25.3,0,ESE,52
19/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,13.6,31.3,0,ESE,50
20/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,16,27.9,4.4,NNW,117
21/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,14,27.6,2.6,NW,44
22/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,11.8,34.3,0,NW,59
23/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,19.1,34.9,0,NNW,83
24/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,14.8,28.8,3.2,NW,56
25/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,16.4,33.7,0,NW,50
26/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,16.9,34.7,0,NW,50
27/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,14.2,35.9,0,E,54
28/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,20.5,34.4,0,E,44
29/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,13.3,32,0,ENE,44
30/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,13.4,37.3,0,NNW,30
31/1/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,16.7,41.9,0,NNW,48
1/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,25.5,42.7,0,W,61
2/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,26.7,33.7,0,W,59
3/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.3,29.2,0,WNW,52
4/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,7,25.3,0,E,44
5/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,10,29.1,0,E,52
6/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.7,25.4,0,ENE,41
7/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,16.4,23.7,0.8,E,54
8/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,16.3,23.9,1.8,SE,57
9/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.5,18.4,3.4,SE,63
10/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.4,27.6,60.4,ENE,39
11/2/20,ACT,Canberra Airport ,70351,-35.3088,149.2003,17.2,28.7,0,NNE,43
