,State-Station,Date,Max Temp,Rain
0,ACT-Canberra Airport ,2019-05,16.587096774193547,1.4903225806451617
1,ACT-Canberra Airport ,2019-06,14.059999999999999,0.6
2,ACT-Canberra Airport ,2019-07,13.674193548387098,0.16129032258064518
3,ACT-Canberra Airport ,2019-08,14.180645161290323,0.5741935483870968
4,ACT-Canberra Airport ,2019-09,18.763333333333335,1.3333333333333333
5,ACT-Canberra Airport ,2019-10,23.6,0.8903225806451613
6,ACT-Canberra Airport ,2019-11,26.82666666666666,0.42
7,ACT-Canberra Airport ,2019-12,31.687096774193545,0.03870967741935484
8,ACT-Canberra Airport ,2020-01,31.725806451612897,0.5161290322580645
9,ACT-Canberra Airport ,2020-02,27.686206896551724,2.7586206896551726
10,ACT-Canberra Airport ,2020-03,23.43225806451613,3.2193548387096778
11,ACT-Canberra Airport ,2020-04,18.93,2.3866666666666663
12,ACT-Canberra Airport ,2020-05,15.038709677419359,0.8645161290322579
13,ACT-Canberra Airport ,2020-06,13.733333333333334,2.0000000000000004
14,ACT-Tuggeranong (Isabella Plains) AWS ,2019-05,16.41935483870968,1.7806451612903225
15,ACT-Tuggeranong (Isabella Plains) AWS ,2019-06,13.686666666666666,0.5933333333333333
16,ACT-Tuggeranong (Isabella Plains) AWS ,2019-07,13.577419354838709,0.22580645161290325
17,ACT-Tuggeranong (Isabella Plains) AWS ,2019-08,14.051612903225806,0.6000000000000001
18,ACT-Tuggeranong (Isabella Plains) AWS ,2019-09,18.619999999999997,1.1
19,ACT-Tuggeranong (Isabella Plains) AWS ,2019-10,23.274193548387103,0.7548387096774193
20,ACT-Tuggeranong (Isabella Plains) AWS ,2019-11,26.170000000000005,0.7666666666666667
21,ACT-Tuggeranong (Isabella Plains) AWS ,2019-12,31.235483870967744,0.025806451612903226
22,ACT-Tuggeranong (Isabella Plains) AWS ,2020-01,31.290322580645157,0.8645161290322579
23,ACT-Tuggeranong (Isabella Plains) AWS ,2020-02,27.20344827586207,4.468965517241379
24,ACT-Tuggeranong (Isabella Plains) AWS ,2020-03,23.319999999999997,3.313333333333333
25,ACT-Tuggeranong (Isabella Plains) AWS ,2020-04,18.999999999999996,2.6799999999999997
26,ACT-Tuggeranong (Isabella Plains) AWS ,2020-05,15.103225806451613,0.7548387096774193
27,ACT-Tuggeranong (Isabella Plains) AWS ,2020-06,13.941666666666665,2.3083333333333336
28,NSW-Bellambi AWS ,2019-05,20.961290322580645,0.23225806451612901
29,NSW-Bellambi AWS ,2019-06,17.52333333333333,4.206666666666667
30,NSW-Bellambi AWS ,2019-07,17.909677419354836,0.8838709677419355
31,NSW-Bellambi AWS ,2019-08,17.774193548387103,2.7612903225806456
32,NSW-Bellambi AWS ,2019-09,19.79666666666667,3.3466666666666667
33,NSW-Bellambi AWS ,2019-10,22.132258064516133,2.116129032258064
34,NSW-Bellambi AWS ,2019-11,23.896666666666665,0.6333333333333333
35,NSW-Bellambi AWS ,2019-12,24.44193548387097,0.19999999999999998
36,NSW-Bellambi AWS ,2020-01,25.599999999999998,2.064516129032258
37,NSW-Bellambi AWS ,2020-02,24.634482758620685,13.779310344827588
38,NSW-Bellambi AWS ,2020-03,23.500000000000004,5.29032258064516
39,NSW-Bellambi AWS ,2020-04,23.06666666666667,1.1266666666666665
40,NSW-Bellambi AWS ,2020-05,19.190322580645166,3.2064516129032254
41,NSW-Bellambi AWS ,2020-06,17.976,0.7839999999999999
42,NSW-Newcastle University ,2019-05,22.62413793103448,2.013793103448276
43,NSW-Newcastle University ,2019-06,18.676,5.904
44,NSW-Newcastle University ,2019-07,19.55238095238095,1.7428571428571429
45,NSW-Newcastle University ,2019-08,20.9,2.617857142857143
46,NSW-Newcastle University ,2019-09,22.684615384615384,3.088461538461539
47,NSW-Newcastle University ,2019-10,25.285714285714285,1.1500000000000001
48,NSW-Newcastle University ,2019-11,28.314814814814813,0.9999999999999999
49,NSW-Newcastle University ,2019-12,30.447368421052627,0.0
50,NSW-Newcastle University ,2020-01,30.78275862068966,1.1586206896551723
51,NSW-Newcastle University ,2020-02,28.65555555555555,7.903703703703703
52,NSW-Newcastle University ,2020-03,26.744444444444454,6.362962962962963
53,NSW-Newcastle University ,2020-04,25.22142857142857,1.6285714285714286
54,NSW-Newcastle University ,2020-05,20.200000000000003,2.4137931034482762
55,NSW-Newcastle University ,2020-06,18.87222222222222,4.866666666666666
56,NSW-Penrith Lakes AWS ,2019-05,22.609677419354842,0.2967741935483871
57,NSW-Penrith Lakes AWS ,2019-06,18.823333333333334,1.5266666666666668
58,NSW-Penrith Lakes AWS ,2019-07,19.32,0.5066666666666667
59,NSW-Penrith Lakes AWS ,2019-08,20.474193548387095,0.3096774193548387
60,NSW-Penrith Lakes AWS ,2019-09,24.08,2.7999999999999994
61,NSW-Penrith Lakes AWS ,2019-10,27.809677419354834,0.8322580645161289
62,NSW-Penrith Lakes AWS ,2019-11,31.468965517241376,0.8551724137931034
63,NSW-Penrith Lakes AWS ,2019-12,33.45483870967742,0.0
64,NSW-Penrith Lakes AWS ,2020-01,32.496774193548376,2.645161290322581
65,NSW-Penrith Lakes AWS ,2020-02,28.806896551724144,12.30344827586207
66,NSW-Penrith Lakes AWS ,2020-03,26.329032258064515,2.6451612903225805
67,NSW-Penrith Lakes AWS ,2020-04,24.99,1.2866666666666664
68,NSW-Penrith Lakes AWS ,2020-05,20.667741935483868,1.909677419354839
69,NSW-Penrith Lakes AWS ,2020-06,19.158333333333335,0.6666666666666666
70,NSW-Sydney (Observatory Hill) ,2019-05,22.55806451612903,0.4709677419354839
